,prec_kf_1,prec_kf_2,prec_kf_3,prec_kf_4,prec_kf_5,mean_precision,rec_kf_1,rec_kf_2,rec_kf_3,rec_kf_4,rec_kf_5,mean_recall
38,0.17601,0.16759,0.17093,0.16389,0.19205,0.13401,0.95359,0.96471,0.95906,0.95093,0.92862,0.96999
39,0.17603,0.16771,0.17095,0.1639,0.19213,0.13401,0.95359,0.96471,0.95906,0.95093,0.92862,0.96999
40,0.17605,0.16773,0.17107,0.16392,0.19237,0.13401,0.95359,0.96471,0.95906,0.95093,0.92862,0.96999
41,0.1761,0.16775,0.17109,0.16402,0.19245,0.13411,0.95297,0.96471,0.95906,0.95093,0.92862,0.96999
42,0.17612,0.19955,0.17125,0.16404,0.19248,0.13413,0.95297,0.95473,0.95906,0.95093,0.92862,0.96999
43,0.17614,0.19958,0.17131,0.16405,0.1925,0.13414,0.95297,0.95473,0.95906,0.95093,0.92862,0.96999
44,0.1762,0.19961,0.17139,0.16407,0.19253,0.13414,0.95297,0.95473,0.95906,0.95093,0.92862,0.96999
45,0.17628,0.19972,0.20406,0.16439,0.22222,0.13428,0.95297,0.95473,0.94802,0.95093,0.91394,0.96986
46,0.1763,0.19975,0.20394,0.16445,0.22226,0.13429,0.95297,0.95473,0.94737,0.95093,0.91394,0.96986
47,0.17632,0.19978,0.204,0.16462,0.22229,0.13429,0.95297,0.95473,0.94737,0.95093,0.91394,0.96986
48,0.17634,0.1998,0.20398,0.16471,0.22233,0.1343,0.95297,0.95473,0.94672,0.95093,0.91394,0.96986
49,0.17636,0.20003,0.20406,0.16475,0.22237,0.13432,0.95297,0.95473,0.94672,0.95093,0.91394,0.96986
50,0.20938,0.19997,0.20409,0.16477,0.22253,0.13432,0.94245,0.95406,0.94672,0.95093,0.91328,0.96986
51,0.2094,0.20003,0.20412,0.19601,0.22257,0.13432,0.94245,0.95406,0.94672,0.93767,0.91328,0.96986
52,0.20943,0.20008,0.20435,0.19603,0.2226,0.1344,0.94245,0.95406,0.94672,0.93767,0.91328,0.96986
