FBtr0303450	-523175
FBtr0303456.1	7576
FBtr0303456.2	26
FBtr0303456	7576
FBtr0303855.1	-212
FBtr0303855	-212
FBtr0303855.2	-3
FBtr0303855.3	-6
FBtr0303856.1	-212
FBtr0303856	-212
FBtr0303856.2	-6
FBtr0303861.1	-16605
FBtr0303861	-16605
FBtr0303861.2	-5
FBtr0303864.1	-170
FBtr0303864	-170
FBtr0303864.2	-71
FBtr0303918.1	5315
FBtr0303918.2	24
FBtr0303918	5315
FBtr0303919.1	5315
FBtr0303919.2	24
FBtr0303919	5315
FBtr0304027.1	-220
FBtr0304027	-220
FBtr0304027.2	-6
FBtr0304029.1	1774
FBtr0304029	1774
FBtr0304029.2	5
FBtr0304030.1	38022
FBtr0304030.2	38022
FBtr0304030	38022
FBtr0304031.1	38022
FBtr0304031	38022
FBtr0304032.1	4978
FBtr0304032.2	11
FBtr0304032	4978
FBtr0304033.1	4978
FBtr0304033	4978
FBtr0304059.1	99999
FBtr0304059.2	3290
FBtr0304059.3	377
FBtr0304059	99999
FBtr0304109.1	-817
FBtr0304109	-817
FBtr0304110.1	-48595
FBtr0304110	-48595
FBtr0304128.1	-18
FBtr0304128	-18
FBtr0304139.1	2
FBtr0304139	2
FBtr0304139.2	5
FBtr0304883.1	-267
FBtr0304883	-267
FBtr0305123.1	3655
FBtr0305123	3655
FBtr0305496.1	1243
FBtr0305496	1243
FBtr0305608.1	-67
FBtr0305608.2	-4
FBtr0305608.3	-6
FBtr0305608	-67
FBtr0305611.1	-6
FBtr0305611.2	-3
FBtr0305611	-6
FBtr0305615.1	3134
FBtr0305615.2	11
FBtr0305615	3134
FBtr0305615.3	4
FBtr0306291	-1
FBtr0306291.1	-1
FBtr0306294.1	-828
FBtr0306294.2	-5
FBtr0306294	-828
FBtr0306295.1	66
FBtr0306295.2	3738
FBtr0306295	66
FBtr0306296.1	66
FBtr0306296.2	3738
FBtr0306296.3	8
FBtr0306296	66
FBtr0306297.1	66
FBtr0306297.2	3738
FBtr0306297.3	8
FBtr0306297	66
FBtr0306299.1	2516
FBtr0306299.2	4
FBtr0306299	2516
FBtr0306314	1009
FBtr0306314.1	1009
FBtr0306314.2	30
FBtr0306314.3	4
FBtr0306315.1	29
FBtr0306315.2	4
FBtr0306315	29
FBtr0306316.1	1156
FBtr0306316	1156
FBtr0306316.2	88
FBtr0306316.3	9
FBtr0306316.4	6
FBtr0306319.1	23
FBtr0306319.2	23
FBtr0306319	23
FBtr0306320.1	23
FBtr0306320.2	23
FBtr0306320	23
FBtr0306320.3	52
FBtr0306321.1	-1522
FBtr0306321	-1522
FBtr0306321.2	-7
FBtr0306321.3	-19
FBtr0306322.1	-1522
FBtr0306322	-1522
FBtr0306322.2	-7
FBtr0306322.3	-19
FBtr0306322.4	-3
FBtr0306322.5	-3
FBtr0306338.1	-68
FBtr0306338.2	-5
FBtr0306338.3	-7
FBtr0306338.4	-7
FBtr0306338.5	-8
FBtr0306338.6	-6
FBtr0306338	-68
FBtr0306338.7	-13
FBtr0306339.1	-68
FBtr0306339.2	-5
FBtr0306339.3	-7
FBtr0306339.4	-7
FBtr0306339.5	-8
FBtr0306339.6	-6
FBtr0306339	-68
FBtr0306339.7	-13
FBtr0306340.1	-2625
FBtr0306340.2	-13
FBtr0306340	-2625
FBtr0306340.3	-5
