"target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"TCONS_00006251",0.169983119973082,0.197870635169896,1.88309215492558,14.8700865275972,1,5.82699022131295,2.97401730551943,0.353917521560454,2.62009978395898,0.676665956098259,2.62009978395898
"TCONS_00049351",0.170269611487541,0.198153333102236,1.88056794182777,57.4374557961853,1,6.13506657849073,11.4874911592371,0.037087674871192,11.4504034843659,0.517075874395782,11.4504034843659
"TCONS_00002296",0.170422796914398,0.198280789338529,1.87922025845291,44.6248876585416,1,5.35094536243824,8.92497753170833,0.0510464597703787,8.87393107193795,1.13082059680983,8.87393107193795
"TCONS_00032688",0.170653010616019,0.198497776948602,1.87719751468705,22.0107986503806,1,3.32375633505199,4.40215973007612,2.68928240947033,1.71287732060579,5.65300319256854,5.65300319256854
"TCONS_00016235",0.170758019332256,0.198569056539763,1.87627590900041,30.0005611016733,1,3.86341072009804,6.00011222033466,1.8447092728617,4.15540294747296,4.50515625515211,4.50515625515211
"TCONS_00034199",0.170844837362549,0.198619151680322,1.87551444460688,5.15086306136256,1,4.87979350335327,1.03017261227251,0.844045724812352,0.186126887460161,1.98003264656236,1.98003264656236
"TCONS_00043852",0.17136859893715,0.199126102296213,1.87093003953517,23.0501445656705,1,3.15557331645571,4.61002891313411,1.71687524877754,2.89315366435657,5.89126451313367,5.89126451313367
"TCONS_00050441",0.17134788621389,0.199126102296213,1.87111102902678,24.2444259119361,1,3.43467836074244,4.84888518238723,0.371571122286086,4.47731406010114,5.46897752179186,5.46897752179186
"TCONS_00067295",0.171622079873376,0.199369625148375,1.8687171357992,2.40286814759594,1,6.44755116945677,0.48057362951919,0.00206574888885981,0.478507880630329,0.405235125031579,0.478507880630329
"TCONS_00029215",0.172863846766246,0.200760800042334,1.85793044451679,1.63095403184276,1,7.2158091071169,0.326190806368552,0.0593003822012683,0.266890424167284,0.262338140040048,0.266890424167284
"TCONS_00022220",0.175460847361641,0.203724803853033,1.83565683189029,0.978010277689812,1,6.40755754477864,0.195602055537962,0.0224949111718971,0.173107144366065,0.41690941224368,0.41690941224368
"TCONS_00018521",0.175670736239097,0.203916363308216,1.83387328834434,12.1406225220413,1,3.74008383425393,2.42812450440826,0.107572116019037,2.32055238838922,4.8274279449838,4.8274279449838
"TCONS_00029463",0.176175604406131,0.204450145568168,1.82959318154467,3.39814630129203,1,5.85789192771858,0.679629260258406,0.429947147607402,0.249682112651004,0.657659116970865,0.657659116970865
